54 81 98 98 95 2 46 49 27 49 
59 63 72 32 80 53 22 36 62 38 
56 94 16 81 0 56 91 33 28 66 
67 15 88 8 28 87 47 69 30 10 
45 23 56 47 97 81 72 29 88 16 
85 84 70 82 13 43 4 67 64 77 
21 77 3 21 67 33 11 25 75 98 
76 64 13 88 3 98 67 94 76 36 
95 91 49 25 44 69 10 82 87 53 
93 56 43 75 91 83 60 45 97 31 
52 97 32 81 89 10 38 89 92 1 
6 39 86 11 26 53 56 51 3 40 
71 55 57 29 80 72 40 59 69 50 
80 0 100 78 8 35 61 16 97 10 
61 0 88 34 23 34 50 70 51 2 
93 77 72 25 94 71 56 74 58 43 
30 9 42 99 32 34 28 45 70 30 
28 75 20 50 95 23 0 29 66 47 
0 32 33 30 64 88 68 45 65 23 
75 0 54 0 96 72 78 94 6 92 
14 74 45 88 0 30 80 24 61 93 
80 6 89 43 87 8 46 25 35 89 
14 98 68 87 71 70 68 92 76 87 
36 55 15 45 1 70 98 15 23 30 
37 64 98 25 68 85 96 68 30 44 
6 3 82 21 30 60 61 33 1 10 
6 28 95 53 54 37 69 64 23 26 
96 19 12 11 85 18 18 75 68 52 
66 40 69 30 79 100 99 82 20 52 
42 49 94 7 94 72 1 43 31 95 
71 8 93 37 70 73 21 25 89 47 
19 67 93 6 93 78 10 88 38 60 
54 15 48 9 97 65 80 92 79 15 
76 24 90 68 58 55 31 28 78 54 
97 3 18 33 10 80 24 49 86 15 
48 18 52 25 25 75 2 88 27 93 
97 75 48 71 10 76 47 91 62 46 
6 6 29 93 97 94 40 9 66 2 
0 67 65 15 16 97 92 41 0 88 
44 15 13 71 40 46 79 10 66 99 
77 91 50 98 99 1 97 73 78 60 
67 78 48 57 50 66 18 60 27 96 
14 23 20 47 35 97 70 30 65 71 
42 59 84 100 23 64 76 4 11 19 
97 81 45 52 77 38 100 48 54 1 
12 40 27 91 94 65 14 14 59 28 
52 76 41 87 91 22 72 83 67 29 
43 10 61 4 69 71 61 100 3 70 
35 36 97 71 3 19 57 18 85 58 
29 83 49 96 52 100 88 23 83 56 
37 11 57 99 96 97 72 5 88 34 
64 15 52 79 79 37 77 46 53 47 
93 63 62 93 91 64 71 19 34 83 
33 52 76 60 74 -1
